Date,FTAS.Open,FTAS.High,FTAS.Low,FTAS.Close,FTAS.Volume,FTAS.Adjusted,,,,
09-02-95," 1,525.4 "," 1,525.4 "," 1,525.4 "," 1,525.4 ", -   ," 1,525.4 ",TRUE,,,
10-02-95," 1,530.5 "," 1,530.5 "," 1,530.5 "," 1,530.5 ", -   ," 1,530.5 ",TRUE,,,
13-02-95," 1,519.8 "," 1,519.8 "," 1,519.8 "," 1,519.8 ", -   ," 1,519.8 ",TRUE,,,
14-02-95," 1,518.2 "," 1,518.2 "," 1,518.2 "," 1,518.2 ", -   ," 1,518.2 ",TRUE,,,
15-02-95," 1,518.4 "," 1,518.4 "," 1,518.4 "," 1,518.4 ", -   ," 1,518.4 ",TRUE,,,
16-02-95," 1,508.4 "," 1,508.4 "," 1,508.4 "," 1,508.4 ", -   ," 1,508.4 ",TRUE,,,
17-02-95," 1,505.8 "," 1,505.8 "," 1,505.8 "," 1,505.8 ", -   ," 1,505.8 ",TRUE,,,
20-02-95," 1,494.6 "," 1,494.6 "," 1,494.6 "," 1,494.6 ", -   ," 1,494.6 ",TRUE,,,
21-02-95," 1,496.0 "," 1,496.0 "," 1,496.0 "," 1,496.0 ", -   ," 1,496.0 ",TRUE,,,
22-02-95," 1,493.1 "," 1,493.1 "," 1,493.1 "," 1,493.1 ", -   ," 1,493.1 ",TRUE,,,
23-02-95," 1,503.7 "," 1,503.7 "," 1,503.7 "," 1,503.7 ", -   ," 1,503.7 ",TRUE,,,
24-02-95," 1,500.1 "," 1,500.1 "," 1,500.1 "," 1,500.1 ", -   ," 1,500.1 ",TRUE,,,
27-02-95," 1,492.8 "," 1,492.8 "," 1,492.8 "," 1,492.8 ", -   ," 1,492.8 ",TRUE,,,
28-02-95," 1,487.0 "," 1,487.0 "," 1,487.0 "," 1,487.0 ", -   ," 1,487.0 ",TRUE,,,
01-03-95," 1,499.3 "," 1,499.3 "," 1,499.3 "," 1,499.3 ", -   ," 1,499.3 ",TRUE,,,
02-03-95," 1,498.6 "," 1,498.6 "," 1,498.6 "," 1,498.6 ", -   ," 1,498.6 ",TRUE,,,
03-03-95," 1,493.4 "," 1,493.4 "," 1,493.4 "," 1,493.4 ", -   ," 1,493.4 ",TRUE,,,
06-03-95," 1,485.5 "," 1,485.5 "," 1,485.5 "," 1,485.5 ", -   ," 1,485.5 ",TRUE,,,
07-03-95," 1,470.4 "," 1,470.4 "," 1,470.4 "," 1,470.4 ", -   ," 1,470.4 ",TRUE,,,
08-03-95," 1,472.8 "," 1,472.8 "," 1,472.8 "," 1,472.8 ", -   ," 1,472.8 ",TRUE,,,
09-03-95," 1,471.6 "," 1,471.6 "," 1,471.6 "," 1,471.6 ", -   ," 1,471.6 ",TRUE,,,
10-03-95," 1,484.4 "," 1,484.4 "," 1,484.4 "," 1,484.4 ", -   ," 1,484.4 ",TRUE,,,
13-03-95," 1,480.7 "," 1,480.7 "," 1,480.7 "," 1,480.7 ", -   ," 1,480.7 ",TRUE,,,
14-03-95," 1,496.0 "," 1,496.0 "," 1,496.0 "," 1,496.0 ", -   ," 1,496.0 ",TRUE,,,
15-03-95," 1,496.2 "," 1,496.2 "," 1,496.2 "," 1,496.2 ", -   ," 1,496.2 ",TRUE,,,
16-03-95," 1,514.9 "," 1,514.9 "," 1,514.9 "," 1,514.9 ", -   ," 1,514.9 ",TRUE,,,
17-03-95," 1,514.0 "," 1,514.0 "," 1,514.0 "," 1,514.0 ", -   ," 1,514.0 ",TRUE,,,
20-03-95," 1,527.4 "," 1,527.4 "," 1,527.4 "," 1,527.4 ", -   ," 1,527.4 ",TRUE,,,
21-03-95," 1,533.4 "," 1,533.4 "," 1,533.4 "," 1,533.4 ", -   ," 1,533.4 ",TRUE,,,
22-03-95," 1,535.2 "," 1,535.2 "," 1,535.2 "," 1,535.2 ", -   ," 1,535.2 ",TRUE,,,
23-03-95," 1,534.7 "," 1,534.7 "," 1,534.7 "," 1,534.7 ", -   ," 1,534.7 ",TRUE,,,
24-03-95," 1,541.8 "," 1,541.8 "," 1,541.8 "," 1,541.8 ", -   ," 1,541.8 ",TRUE,,,
27-03-95," 1,540.8 "," 1,540.8 "," 1,540.8 "," 1,540.8 ", -   ," 1,540.8 ",TRUE,,,
28-03-95," 1,533.0 "," 1,533.0 "," 1,533.0 "," 1,533.0 ", -   ," 1,533.0 ",TRUE,,,
29-03-95," 1,538.4 "," 1,538.4 "," 1,538.4 "," 1,538.4 ", -   ," 1,538.4 ",TRUE,,,
30-03-95," 1,552.5 "," 1,552.5 "," 1,552.5 "," 1,552.5 ", -   ," 1,552.5 ",TRUE,,,
31-03-95," 1,538.6 "," 1,538.6 "," 1,538.6 "," 1,538.6 ", -   ," 1,538.6 ",TRUE,,,
03-04-95," 1,540.6 "," 1,540.6 "," 1,540.6 "," 1,540.6 ", -   ," 1,540.6 ",TRUE,,,
04-04-95," 1,558.9 "," 1,558.9 "," 1,558.9 "," 1,558.9 ", -   ," 1,558.9 ",TRUE,,,
