Date,Open,High,Low,Close,,Date,
21-Oct-20,"3,315.73","3,322.31","3,257.77","3,261.01",,10/21/2020,21-Oct-20
20-Oct-20,"3,311.77","3,328.71","3,299.05","3,315.73",,10/20/2020,20-Oct-20
19-Oct-20,"3,325.67","3,345.61","3,304.10","3,311.77",,10/19/2020,19-Oct-20
16-Oct-20,"3,286.96","3,333.01","3,286.96","3,325.67",,10/16/2020,16-Oct-20
15-Oct-20,"3,337.64","3,337.64","3,259.15","3,286.96",,10/15/2020,15-Oct-20
14-Oct-20,"3,350.92","3,372.17","3,333.13","3,337.64",,10/14/2020,14-Oct-20
13-Oct-20,"3,374.54","3,377.24","3,342.37","3,350.92",,10/13/2020,13-Oct-20
12-Oct-20,"3,378.37","3,392.44","3,368.85","3,374.54",,10-12-20,12-Oct-20
09-Oct-20,"3,356.09","3,388.44","3,356.09","3,378.37",,10-09-20,09-Oct-20
08-Oct-20,"3,336.83","3,367.89","3,330.94","3,356.09",,10-08-20,08-Oct-20
07-Oct-20," 3,338 "," 3,351 "," 3,328 "," 3,337 ",,10-07-20,07-Oct-20
06-Oct-20," 3,327 "," 3,346 "," 3,311 "," 3,338 ",,10-06-20,06-Oct-20
05-Oct-20," 3,301 "," 3,338 "," 3,301 "," 3,327 ",,10-05-20,05-Oct-20
02-Oct-20," 3,291 "," 3,301 "," 3,255 "," 3,301 ",,10-02-20,02-Oct-20
01-Oct-20," 3,282 "," 3,313 "," 3,276 "," 3,291 ",,10-01-20,01-Oct-20
30-Sep-20," 3,291 "," 3,308 "," 3,270 "," 3,282 ",,09/30/2020,30-Sep-20
29-Sep-20," 3,312 "," 3,312 "," 3,278 "," 3,291 ",,09/29/2020,29-Sep-20
28-Sep-20," 3,262 "," 3,324 "," 3,262 "," 3,312 ",,09/28/2020,28-Sep-20
25-Sep-20," 3,245 "," 3,262 "," 3,220 "," 3,262 ",,09/25/2020,25-Sep-20
24-Sep-20," 3,287 "," 3,287 "," 3,238 "," 3,245 ",,09/24/2020,24-Sep-20
23-Sep-20," 3,249 "," 3,325 "," 3,249 "," 3,287 ",,09/23/2020,23-Sep-20
22-Sep-20," 3,240 "," 3,273 "," 3,232 "," 3,249 ",,09/22/2020,22-Sep-20
21-Sep-20," 3,356 "," 3,356 "," 3,228 "," 3,240 ",,09/21/2020,21-Sep-20
18-Sep-20," 3,380 "," 3,382 "," 3,354 "," 3,356 ",,09/18/2020,18-Sep-20
17-Sep-20," 3,395 "," 3,395 "," 3,355 "," 3,380 ",,09/17/2020,17-Sep-20
16-Sep-20," 3,408 "," 3,413 "," 3,386 "," 3,395 ",,09/16/2020,16-Sep-20
15-Sep-20," 3,368 "," 3,417 "," 3,367 "," 3,408 ",,09/15/2020,15-Sep-20
14-Sep-20," 3,366 "," 3,390 "," 3,359 "," 3,368 ",,09/14/2020,14-Sep-20
11-Sep-20," 3,354 "," 3,378 "," 3,350 "," 3,366 ",,09-11-20,11-Sep-20
10-Sep-20," 3,358 "," 3,369 "," 3,331 "," 3,354 ",,09-10-20,10-Sep-20
09-Sep-20," 3,322 "," 3,368 "," 3,318 "," 3,358 ",,09-09-20,09-Sep-20
08-Sep-20," 3,326 "," 3,350 "," 3,289 "," 3,322 ",,09-08-20,08-Sep-20
07-Sep-20," 3,254 "," 3,331 "," 3,254 "," 3,326 ",,09-07-20,07-Sep-20
04-Sep-20," 3,281 "," 3,310 "," 3,244 "," 3,254 ",,09-04-20,04-Sep-20
03-Sep-20," 3,330 "," 3,359 "," 3,277 "," 3,281 ",,09-03-20,03-Sep-20
02-Sep-20," 3,291 "," 3,348 "," 3,291 "," 3,330 ",,09-02-20,02-Sep-20
01-Sep-20," 3,342 "," 3,347 "," 3,270 "," 3,291 ",,09-01-20,01-Sep-20
31-Aug-20,"3,342.44","3,342.44","3,342.44","3,342.44",,08/31/2020,31-Aug-20
28-Aug-20,"3,357.92","3,373.84","3,340.36","3,342.44",,08/28/2020,28-Aug-20
27-Aug-20,"3,377.73","3,386.52","3,357.92","3,357.92",,08/27/2020,27-Aug-20
26-Aug-20,"3,367.92","3,378.69","3,347.08","3,377.73",,08/26/2020,26-Aug-20
25-Aug-20,"3,402.17","3,436.42","3,365.64","3,367.92",,08/25/2020,25-Aug-20
24-Aug-20,"3,352.18","3,410.35","3,352.18","3,402.17",,08/24/2020,24-Aug-20
21-Aug-20,"3,354.33","3,366.19","3,321.25","3,352.18",,08/21/2020,21-Aug-20
20-Aug-20,"3,401.86","3,401.86","3,351.63","3,354.33",,08/20/2020,20-Aug-20
19-Aug-20,"3,387.25","3,403.15","3,371.56","3,401.86",,08/19/2020,19-Aug-20
18-Aug-20,"3,415.77","3,434.02","3,382.83","3,387.25",,08/18/2020,18-Aug-20
17-Aug-20,"3,397.87","3,421.87","3,382.00","3,415.77",,08/17/2020,17-Aug-20
14-Aug-20,"3,447.01","3,447.01","3,371.38","3,397.87",,08/14/2020,14-Aug-20
13-Aug-20,"3,494.22","3,494.22","3,447.01","3,447.01",,08/13/2020,13-Aug-20
12-Aug-20,"3,434.56","3,501.90","3,433.51","3,494.22",,08-12-20,12-Aug-20
11-Aug-20,"3,377.97","3,459.10","3,377.97","3,434.56",,08-11-20,11-Aug-20
10-Aug-20,"3,366.07","3,401.56","3,366.07","3,377.97",,08-10-20,10-Aug-20
07-Aug-20,"3,358.54","3,371.05","3,343.76","3,366.07",,08-07-20,07-Aug-20
06-Aug-20,"3,398.94","3,398.94","3,334.84","3,358.54",,08-06-20,06-Aug-20
05-Aug-20,"3,356.30","3,398.94","3,356.28","3,398.94",,08-05-20,05-Aug-20
04-Aug-20,"3,349.50","3,362.93","3,328.70","3,356.30",,08-04-20,04-Aug-20
03-Aug-20,"3,282.02","3,351.61","3,260.11","3,349.50",,08-03-20,03-Aug-20
31-Jul-20,"3,325.68","3,355.09","3,282.02","3,282.02",,07/31/2020,31-Jul-20
30-Jul-20,"3,397.36","3,404.38","3,292.72","3,325.68",,07/30/2020,30-Jul-20
29-Jul-20,"3,397.90","3,408.31","3,390.63","3,397.36",,07/29/2020,29-Jul-20
28-Jul-20,"3,382.75","3,408.07","3,375.87","3,397.90",,07/28/2020,28-Jul-20
27-Jul-20,"3,394.85","3,396.58","3,375.83","3,382.75",,07/27/2020,27-Jul-20
24-Jul-20,"3,441.55","3,441.55","3,384.68","3,394.85",,07/24/2020,24-Jul-20
23-Jul-20,"3,439.24","3,470.79","3,437.56","3,441.55",,07/23/2020,23-Jul-20
22-Jul-20,"3,468.85","3,471.15","3,435.19","3,439.24",,07/22/2020,22-Jul-20
21-Jul-20,"3,461.01","3,490.58","3,460.45","3,468.85",,07/21/2020,21-Jul-20
20-Jul-20,"3,472.74","3,475.61","3,439.55","3,461.01",,07/20/2020,20-Jul-20
17-Jul-20,"3,454.00","3,473.41","3,441.42","3,472.74",,07/17/2020,17-Jul-20
16-Jul-20,"3,476.23","3,477.78","3,443.58","3,454.00",,07/16/2020,16-Jul-20
15-Jul-20,"3,417.14","3,491.24","3,417.14","3,476.23",,07/15/2020,15-Jul-20
14-Jul-20,"3,423.06","3,423.06","3,377.37","3,417.14",,07/14/2020,14-Jul-20
13-Jul-20,"3,379.62","3,428.12","3,379.62","3,423.06",,07/13/2020,13-Jul-20
10-Jul-20,"3,353.07","3,386.77","3,328.82","3,379.62",,07-10-20,10-Jul-20
09-Jul-20,"3,407.94","3,421.37","3,349.61","3,353.07",,07-09-20,09-Jul-20
08-Jul-20,"3,429.03","3,433.17","3,402.70","3,407.94",,07-08-20,08-Jul-20
07-Jul-20,"3,479.20","3,479.20","3,424.09","3,429.03",,07-07-20,07-Jul-20
06-Jul-20,"3,412.25","3,487.71","3,412.25","3,479.20",,07-06-20,06-Jul-20
03-Jul-20,"3,451.45","3,466.32","3,402.23","3,412.28",,07-03-20,03-Jul-20
02-Jul-20,"3,407.78","3,462.28","3,407.78","3,451.45",,07-02-20,02-Jul-20
01-Jul-20,"3,410.93","3,430.59","3,368.75","3,407.78",,07-01-20,01-Jul-20
30-Jun-20,"3,438.93","3,444.46","3,399.20","3,410.93",,06/30/2020,30-Jun-20
29-Jun-20,"3,406.45","3,451.18","3,385.50","3,438.93",,06/29/2020,29-Jun-20
26-Jun-20,"3,401.43","3,460.36","3,401.43","3,406.45",,06/26/2020,26-Jun-20
25-Jun-20,"3,392.63","3,408.59","3,339.79","3,401.43",,06/25/2020,25-Jun-20
24-Jun-20,"3,498.11","3,498.11","3,392.63","3,392.63",,06/24/2020,24-Jun-20
23-Jun-20,"3,461.35","3,511.17","3,461.18","3,498.11",,06/23/2020,23-Jun-20
22-Jun-20,"3,486.77","3,494.06","3,451.99","3,461.35",,06/22/2020,22-Jun-20
19-Jun-20,"3,449.45","3,498.76","3,449.45","3,486.77",,06/19/2020,19-Jun-20
18-Jun-20,"3,464.50","3,480.76","3,429.56","3,449.45",,06/18/2020,18-Jun-20
17-Jun-20,"3,455.40","3,491.79","3,453.45","3,464.50",,06/17/2020,17-Jun-20
16-Jun-20,"3,362.12","3,486.96","3,362.12","3,455.40",,06/16/2020,16-Jun-20
15-Jun-20,"3,379.82","3,379.82","3,300.71","3,362.12",,06/15/2020,15-Jun-20
12-Jun-20,"3,363.63","3,421.68","3,317.47","3,379.82",,06-12-20,12-Jun-20
11-Jun-20,"3,499.69","3,499.69","3,363.63","3,363.63",,06-11-20,11-Jun-20
10-Jun-20,"3,507.71","3,537.68","3,485.21","3,499.69",,06-10-20,10-Jun-20
09-Jun-20,"3,582.37","3,583.91","3,503.02","3,507.71",,06-09-20,09-Jun-20
08-Jun-20,"3,589.76","3,609.40","3,559.21","3,582.37",,06-08-20,08-Jun-20
05-Jun-20,"3,509.99","3,592.04","3,509.99","3,589.76",,06-05-20,05-Jun-20
04-Jun-20,"3,531.75","3,541.57","3,497.77","3,509.99",,06-04-20,04-Jun-20
03-Jun-20,"3,442.46","3,536.76","3,442.46","3,531.75",,06-03-20,03-Jun-20
02-Jun-20,"3,412.50","3,452.37","3,411.95","3,442.46",,06-02-20,02-Jun-20
01-Jun-20,"3,363.67","3,418.06","3,363.67","3,412.50",,06-01-20,01-Jun-20
29-May-20,"3,437.30","3,437.30","3,356.03","3,363.67",,05/29/2020,29-May-20
28-May-20,"3,396.13","3,445.71","3,396.13","3,437.30",,05/28/2020,28-May-20
27-May-20,"3,354.42","3,410.93","3,354.42","3,396.13",,05/27/2020,27-May-20
26-May-20,"3,301.88","3,379.68","3,301.88","3,354.42",,05/26/2020,26-May-20
25-May-20,"3,301.88","3,301.88","3,301.88","3,301.88",,05/25/2020,25-May-20
22-May-20,"3,311.40","3,311.40","3,245.65","3,301.88",,05/22/2020,22-May-20
21-May-20,"3,333.86","3,349.10","3,302.76","3,311.40",,05/21/2020,21-May-20
20-May-20,"3,302.74","3,337.70","3,281.14","3,333.86",,05/20/2020,20-May-20
19-May-20,"3,320.21","3,353.58","3,283.95","3,302.74",,05/19/2020,19-May-20
18-May-20,"3,188.52","3,323.72","3,188.52","3,320.21",,05/18/2020,18-May-20
15-May-20,"3,153.15","3,206.17","3,153.15","3,188.52",,05/15/2020,15-May-20
14-May-20,"3,243.83","3,243.83","3,110.14","3,153.15",,05/14/2020,14-May-20
13-May-20,"3,294.63","3,294.67","3,239.29","3,243.83",,05/13/2020,13-May-20
12-May-20,"3,273.26","3,305.64","3,259.52","3,294.63",,05-12-20,12-May-20
11-May-20,"3,270.55","3,305.06","3,253.31","3,273.26",,05-11-20,11-May-20
08-May-20,"3,270.55","3,270.55","3,270.55","3,270.55",,05-08-20,08-May-20
07-May-20,"3,224.70","3,272.55","3,224.70","3,270.55",,05-07-20,07-May-20
06-May-20,"3,225.90","3,248.08","3,219.80","3,224.70",,05-06-20,06-May-20
05-May-20,"3,178.59","3,237.28","3,178.59","3,225.90",,05-05-20,05-May-20
04-May-20,"3,189.41","3,196.77","3,154.23","3,178.59",,05-04-20,04-May-20
01-May-20,"3,262.51","3,262.51","3,181.85","3,189.41",,05-01-20,01-May-20
30-Apr-20,"3,371.26","3,394.39","3,260.51","3,262.51",,04/30/2020,30-Apr-20
29-Apr-20,"3,281.88","3,377.43","3,278.32","3,371.26",,04/29/2020,29-Apr-20
28-Apr-20,"3,220.29","3,294.27","3,218.32","3,281.88",,04/28/2020,28-Apr-20
27-Apr-20,"3,168.88","3,226.69","3,168.88","3,220.29",,04/27/2020,27-Apr-20
24-Apr-20,"3,205.67","3,205.95","3,157.71","3,168.88",,04/24/2020,24-Apr-20
23-Apr-20,"3,173.49","3,215.63","3,158.72","3,205.67",,04/23/2020,23-Apr-20
22-Apr-20,"3,108.44","3,176.46","3,108.33","3,173.49",,04/22/2020,22-Apr-20
21-Apr-20,"3,200.72","3,200.72","3,108.44","3,108.44",,04/21/2020,21-Apr-20
20-Apr-20,"3,190.20","3,210.48","3,150.29","3,200.72",,04/20/2020,20-Apr-20
17-Apr-20,"3,102.13","3,218.48","3,102.13","3,190.20",,04/17/2020,17-Apr-20
16-Apr-20,"3,087.44","3,119.35","3,078.61","3,102.13",,04/16/2020,16-Apr-20
15-Apr-20,"3,200.14","3,200.20","3,077.13","3,087.44",,04/15/2020,15-Apr-20
14-Apr-20,"3,233.24","3,260.09","3,194.05","3,200.14",,04/14/2020,14-Apr-20
13-Apr-20,"3,233.24","3,233.24","3,233.24","3,233.24",,04/13/2020,13-Apr-20
10-Apr-20,"3,233.24","3,233.24","3,233.24","3,233.24",,04-10-20,10-Apr-20
09-Apr-20,"3,140.10","3,233.24","3,140.10","3,233.24",,04-09-20,09-Apr-20
08-Apr-20,"3,141.28","3,141.28","3,087.69","3,140.10",,04-08-20,08-Apr-20
07-Apr-20,"3,058.85","3,184.04","3,058.85","3,141.28",,04-07-20,07-Apr-20
06-Apr-20,"2,958.40","3,060.32","2,958.40","3,058.85",,04-06-20,06-Apr-20
03-Apr-20,"2,998.54","3,001.38","2,949.43","2,958.40",,04-03-20,03-Apr-20
02-Apr-20,"2,991.12","3,034.34","2,961.28","2,998.54",,04-02-20,02-Apr-20
01-Apr-20,"3,107.42","3,107.42","2,974.43","2,991.12",,04-01-20,01-Apr-20
31-Mar-20,"3,041.16","3,119.49","3,041.15","3,107.42",,03/31/2020,31-Mar-20
30-Mar-20,"3,021.89","3,042.87","2,932.67","3,041.16",,03/30/2020,30-Mar-20
27-Mar-20,"3,179.75","3,179.75","2,970.79","3,021.89",,03/27/2020,27-Mar-20
26-Mar-20,"3,102.98","3,179.75","3,011.61","3,179.75",,03/26/2020,26-Mar-20
25-Mar-20,"2,969.58","3,129.67","2,959.80","3,102.98",,03/25/2020,25-Mar-20
24-Mar-20,"2,727.86","2,969.58","2,727.86","2,969.58",,03/24/2020,24-Mar-20
23-Mar-20,"2,837.05","2,837.05","2,688.43","2,727.86",,03/23/2020,23-Mar-20
20-Mar-20,"2,788.06","2,928.90","2,788.06","2,837.05",,03/20/2020,20-Mar-20
19-Mar-20,"2,764.48","2,800.48","2,680.37","2,788.37",,03/19/2020,19-Mar-20
18-Mar-20,"2,894.45","2,894.45","2,738.49","2,764.48",,03/18/2020,18-Mar-20
17-Mar-20,"2,848.87","2,934.45","2,749.45","2,894.45",,03/17/2020,17-Mar-20
16-Mar-20,"2,994.40","2,994.41","2,713.71","2,848.87",,03/16/2020,16-Mar-20
13-Mar-20,"2,942.21","3,173.11","2,942.21","2,994.40",,03/13/2020,13-Mar-20
12-Mar-20,"3,287.07","3,287.07","2,938.56","2,942.21",,03-12-20,12-Mar-20
11-Mar-20,"3,332.98","3,398.75","3,280.42","3,287.07",,03-11-20,11-Mar-20
10-Mar-20,"3,334.86","3,475.12","3,317.83","3,332.98",,03-10-20,10-Mar-20
09-Mar-20,"3,600.95","3,600.95","3,302.51","3,334.86",,03-09-20,09-Mar-20
06-Mar-20,"3,731.49","3,731.49","3,582.72","3,600.95",,03-06-20,06-Mar-20
05-Mar-20,"3,795.38","3,807.61","3,710.60","3,731.49",,03-05-20,05-Mar-20
04-Mar-20,"3,749.09","3,819.60","3,738.95","3,795.38",,03-04-20,04-Mar-20
03-Mar-20,"3,706.83","3,813.90","3,706.83","3,749.09",,03-03-20,03-Mar-20
02-Mar-20,"3,673.61","3,777.82","3,627.12","3,706.83",,03-02-20,02-Mar-20
28-Feb-20,"3,787.97","3,787.97","3,611.16","3,673.61",,02/28/2020,28-Feb-20
27-Feb-20,"3,928.00","3,928.00","3,754.16","3,787.97",,02/27/2020,27-Feb-20
26-Feb-20,"3,921.63","3,929.19","3,838.70","3,928.00",,02/26/2020,26-Feb-20
25-Feb-20,"3,998.13","4,021.23","3,915.67","3,921.63",,02/25/2020,25-Feb-20
24-Feb-20,"4,132.71","4,132.71","3,976.44","3,998.13",,02/24/2020,24-Feb-20
21-Feb-20,"4,150.19","4,150.21","4,116.39","4,132.71",,02/21/2020,21-Feb-20
20-Feb-20,"4,158.30","4,172.24","4,150.19","4,150.19",,02/20/2020,20-Feb-20
19-Feb-20,"4,118.84","4,160.29","4,118.84","4,158.30",,02/19/2020,19-Feb-20
18-Feb-20,"4,147.10","4,147.10","4,107.35","4,118.84",,02/18/2020,18-Feb-20
17-Feb-20,"4,135.07","4,156.05","4,135.07","4,147.10",,02/17/2020,17-Feb-20
14-Feb-20,"4,150.02","4,161.43","4,129.51","4,135.07",,02/14/2020,14-Feb-20
13-Feb-20,"4,191.17","4,191.17","4,127.13","4,150.02",,02/13/2020,13-Feb-20
12-Feb-20,"4,170.07","4,196.60","4,170.07","4,191.17",,02-12-20,12-Feb-20
11-Feb-20,"4,141.62","4,170.07","4,170.07","4,170.07",,02-11-20,11-Feb-20
10-Feb-20,"4,151.15","4,151.18","4,131.70","4,141.62",,02-10-20,10-Feb-20
07-Feb-20,"4,170.89","4,171.90","4,137.76","4,151.15",,02-07-20,07-Feb-20
06-Feb-20,"4,159.03","4,187.34","4,159.03","4,170.89",,02-06-20,06-Feb-20
05-Feb-20,"4,136.76","4,173.83","4,122.92","4,159.03",,02-05-20,05-Feb-20
04-Feb-20,"4,076.19","4,137.56","4,076.19","4,136.76",,02-04-20,04-Feb-20
03-Feb-20,"4,057.47","4,093.39","4,057.03","4,076.19",,02-03-20,03-Feb-20
31-Jan-20,"4,105.32","4,118.55","4,052.72","4,057.47",,01/31/2020,31-Jan-20
30-Jan-20,"4,157.33","4,157.33","4,093.14","4,105.32",,01/30/2020,30-Jan-20
29-Jan-20,"4,154.59","4,172.04","4,146.49","4,157.33",,01/29/2020,29-Jan-20
28-Jan-20,"4,118.99","4,160.58","4,118.42","4,154.59",,01/28/2020,28-Jan-20
27-Jan-20,"4,213.14","4,213.14","4,112.71","4,118.99",,01/27/2020,27-Jan-20
24-Jan-20,"4,170.34","4,237.52","4,170.34","4,213.14",,01/24/2020,24-Jan-20
23-Jan-20,"4,206.93","4,207.14","4,168.54","4,170.34",,01/23/2020,23-Jan-20
22-Jan-20,"4,223.35","4,235.96","4,202.73","4,206.93",,01/22/2020,22-Jan-20
21-Jan-20,"4,245.57","4,245.57","4,195.18","4,223.35",,01/21/2020,21-Jan-20
20-Jan-20,"4,257.93","4,262.33","4,240.59","4,245.57",,01/20/2020,20-Jan-20
17-Jan-20,"4,222.79","4,264.84","4,222.79","4,257.93",,01/17/2020,17-Jan-20
16-Jan-20,"4,237.59","4,244.32","4,215.07","4,222.79",,01/16/2020,16-Jan-20
15-Jan-20,"4,229.23","4,237.71","4,221.26","4,237.59",,01/15/2020,15-Jan-20
14-Jan-20,"4,225.78","4,243.98","4,212.55","4,229.23",,01/14/2020,14-Jan-20
13-Jan-20,"4,206.72","4,235.37","4,206.42","4,225.78",,01/13/2020,13-Jan-20
10-Jan-20,"4,213.77","4,230.58","4,206.55","4,206.72",,01-10-20,10-Jan-20
09-Jan-20,"4,203.44","4,227.87","4,203.44","4,213.77",,01-09-20,09-Jan-20
08-Jan-20,"4,209.34","4,209.34","4,180.78","4,203.44",,01-08-20,08-Jan-20
07-Jan-20,"4,206.93","4,223.57","4,202.08","4,209.34",,01-07-20,07-Jan-20
06-Jan-20,"4,235.65","4,235.65","4,184.39","4,206.93",,01-06-20,06-Jan-20
03-Jan-20,"4,231.66","4,236.91","4,200.87","4,235.65",,01-03-20,03-Jan-20
02-Jan-20,"4,196.47","4,238.71","4,196.47","4,231.66",,01-02-20,02-Jan-20
01-Jan-20,"4,196.47","4,196.47","4,196.47","4,196.47",,01-01-20,01-Jan-20
